kepid,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2
4372768,K01327.01,1,FALSE POSITIVE,0.0,15.640251500000002,14.437648000000001,18.11,2.85,-2.32,0.200775,70.08412,-0.082123
4074736,K01328.01,1,CANDIDATE,0.909,80.9669561,45.888737,5.04,1.03,-0.37,0.062648,0.00156,-0.000792
4072526,K01329.01,1,CANDIDATE,0.995,33.1996355,30.042027,2.85,0.15,-0.25,0.029606999999999998,0.0013369999999999999,-0.000679
4150539,K01330.01,1,FALSE POSITIVE,0.0,8.65306587,33.64578,19.78,1.43,-1.74,0.26101399999999997,44.23445,-0.08348799999999999
4150539,K01330.02,3,FALSE POSITIVE,0.0,94.219289,14.341498999999999,2.15,0.15,-0.19,0.028332,0.001175,-0.000742
4150624,K01334.02,3,FALSE POSITIVE,0.0,94.225938,15.880621,1.93,0.45,-0.14,0.020742,0.000794,-0.000728
4155328,K01335.01,1,CANDIDATE,1.0,127.8334997,52.61261999999999,9.46,1.56,-2.14,0.039937,0.003339,-0.000536
4077526,K01336.01,1,CANDIDATE,1.0,10.21864532,22.117716,2.33,0.75,-0.33,0.019663,0.000404,-0.000743
4077526,K01336.02,2,CANDIDATE,1.0,15.573637,18.62881,2.94,0.95,-0.41,0.02484,2.1e-05,-0.00466
4077526,K01336.03,3,CANDIDATE,1.0,40.101556099999996,14.215785999999998,2.92,0.95,-0.4,0.024714,0.0035090000000000004,-0.0032869999999999996
10271806,K00733.01,1,CANDIDATE,1.0,5.924993927,58.546431999999996,3.15,0.21,-0.14,0.042444,0.0038759999999999997,-0.00562
10271806,K00733.02,2,CANDIDATE,1.0,11.34934848,36.493874,2.39,0.17,-0.1,0.03229,0.000367,-0.001288
10271806,K00733.03,3,CANDIDATE,1.0,3.13295351,20.515207,1.39,0.09,-0.06,0.018691,0.000842,-0.000492
10271806,K00733.04,4,CANDIDATE,1.0,18.64349986,14.95795,2.14,0.14,-0.09,0.028845,0.005347,-0.003312
10272442,K00734.01,1,CANDIDATE,1.0,24.543456600000003,46.01647,3.08,0.91,-0.28,0.031007999999999997,0.000589,-0.000248
10358759,K00738.02,2,CANDIDATE,1.0,13.28689997,28.055307,2.78,0.22,-0.13,0.029278,0.000786,-0.000482
10386984,K00739.01,1,CANDIDATE,0.999,1.287076693,50.901573,1.39,0.08,-0.12,0.024255000000000002,0.000778,-0.00025699999999999996
10395381,K00740.01,1,CANDIDATE,1.0,17.671771399999997,30.951159000000004,2.44,0.27,-0.17,0.032562,0.001883,-0.005142
10418797,K00741.01,1,FALSE POSITIVE,0.0,23.355341391,1094.4517,21.55,5.8,-1.93,0.218013,0.0038880000000000004,-0.000592
10419211,K00742.01,1,FALSE POSITIVE,0.0,11.521446064000001,628.3708,150.51,39.76,-13.31,1.625358,2.8471290000000002,-0.663339
10583180,K00748.01,1,FALSE POSITIVE,0.0,2.6963706519999997,34.570904,1.58,0.13,-0.16,0.017672999999999998,0.000551,-0.00031099999999999997
10601284,K00749.01,1,CANDIDATE,1.0,5.349553819,48.504196,2.55,0.16,-0.24,0.025706,0.0008449999999999999,-0.000453
10601284,K00749.02,2,CANDIDATE,0.98,3.94105221,22.749151,1.7,0.11,-0.16,0.017105000000000002,0.0007030000000000001,-0.000557
10601284,K00749.03,3,CANDIDATE,0.971,8.10904807,9.776852,1.3,0.09,-0.12,0.013127000000000002,0.0008699999999999999,-0.000503
10662202,K00750.01,1,CANDIDATE,1.0,21.67699193,24.54073,2.95,0.12,-0.23,0.032666,2.1e-05,-0.005743
10910878,K00757.01,1,CANDIDATE,1.0,16.06864674,137.44981,5.76,0.22,-0.49,0.062161,0.0009130000000000001,-0.00042800000000000005
10910878,K00757.02,2,CANDIDATE,0.992,41.19725502,37.877567,3.86,0.15,-0.33,0.041693,0.00118,-0.0006129999999999999
10910878,K00757.03,3,CANDIDATE,1.0,6.252962248999999,35.96252,2.65,0.1,-0.23,0.028604,0.001027,-0.000484
10987985,K00758.01,1,CANDIDATE,1.0,16.01308419,31.066507,3.1,0.34,-0.31,0.034369,0.003169,-0.004367
11018648,K00759.01,1,CANDIDATE,1.0,32.62876672,61.372303,3.36,0.76,-0.33,0.03852,0.0009710000000000001,-0.000365
11018648,K00759.02,2,CANDIDATE,0.978,91.7732862,14.678595000000001,2.12,0.48,-0.21,0.024319999999999998,0.007051000000000001,-0.001216
11138155,K00760.01,1,CANDIDATE,1.0,4.959319244,670.4895,12.21,1.96,-1.46,0.103379,0.001245,-7.4e-05
5456651,K00835.02,2,CANDIDATE,0.878,56.22792710000001,16.481398000000002,2.37,0.17,-0.09,0.028682999999999997,0.005581,-0.002562
5481416,K00836.01,1,FALSE POSITIVE,0.0,2.384052875,44.634888000000004,17.06,1.32,-1.6,0.222925,5.665153,-0.106073
5531576,K00837.01,1,CANDIDATE,1.0,7.953547,31.887648,2.25,0.07,-0.14,0.026448000000000003,0.000736,-0.000874
5531576,K00837.02,2,CANDIDATE,1.0,4.14451656,18.548983,1.48,0.05,-0.09,0.017440999999999998,0.0009539999999999999,-0.000583
5534814,K00838.01,1,FALSE POSITIVE,0.0,4.859386384,300.96277000000003,38.33,12.8,-4.27,0.355227,1.064835,-0.16072
5649215,K00839.01,1,FALSE POSITIVE,0.0,2.4467373169999997,98.78201,26.25,6.9,-2.47,0.278526,1.282784,-0.12895399999999999
5651104,K00840.01,1,CANDIDATE,1.0,3.04033046,653.3606599999999,8.99,0.8,-0.99,0.104023,0.00047000000000000004,-0.001431
8150320,K00904.02,3,CANDIDATE,0.997,27.9541337,15.262756,1.9,0.13,-0.06,0.026973,0.001433,-0.0006940000000000001
8150320,K00904.03,5,CANDIDATE,1.0,42.1406089,13.00283,1.85,0.13,-0.05,0.026274000000000002,0.001477,-0.000608
8150320,K00904.04,2,CANDIDATE,1.0,4.6174905619999995,18.39992,1.62,0.11,-0.05,0.023024,0.002805,-0.001614
8150320,K00904.05,4,CANDIDATE,0.996,10.19849255,14.958939,1.75,0.11,-0.06,0.024778,0.005158,-0.002447
8180063,K00905.01,1,FALSE POSITIVE,0.0,5.795063956,108.88901499999999,4.33,0.98,-0.39,0.047975,0.00088,-0.001151
8226994,K00906.01,1,CANDIDATE,1.0,7.15681552,38.487896,2.47,0.1,-0.2,0.026979000000000003,0.004494,-0.00075
8226994,K00906.02,2,CANDIDATE,1.0,17.64830851,19.097145,2.43,0.1,-0.19,0.026581,0.005396,-0.001882
9818381,K00135.01,1,CANDIDATE,1.0,3.024092505,1388.9977,12.14,0.79,-0.95,0.08187799999999999,0.000278,-0.000412
4044005,K00969.01,1,FALSE POSITIVE,0.0,17.512014768,471.55078,13.66,4.26,-2.3,0.110483,0.208655,-0.005509
11502218,K00970.01,1,FALSE POSITIVE,0.0,3.9886021,52.55095,34.39,4.71,-10.99,0.023066999999999997,0.000867,-0.000489
11180361,K00971.01,1,CANDIDATE,1.0,0.533059312,13.460673000000002,133.56,25.98,-77.91,0.30191799999999996,0.0,0.0
11013201,K00972.01,1,CANDIDATE,0.632,13.118962443,182.40976,8.25,0.45,-2.5,0.017825999999999998,0.00016299999999999998,-5.7999999999999994e-05
11013201,K00972.02,2,FALSE POSITIVE,0.0,7.82187328,20.88297,2.78,0.15,-0.84,0.006005,0.000172,-0.0001
9414417,K00974.01,1,CANDIDATE,0.999,53.5057611,40.118782,2.52,0.16,-0.12,0.013111000000000001,0.00146,-0.00022400000000000002
8218274,K01064.01,1,CANDIDATE,0.557,1.187352427,3460.6279999999997,67.35,20.04,-16.42,0.41421499999999994,0.023293,-0.024998
8242681,K01065.01,1,FALSE POSITIVE,0.008,4.020628573,1090.1306,16.94,5.73,-1.9,0.15019100000000002,0.000727,-0.000875
8260218,K01066.01,1,CANDIDATE,1.0,5.714817602999999,529.8256,9.29,2.47,-0.99,0.10104500000000001,0.000109,-0.000195
8246781,K01067.01,1,FALSE POSITIVE,0.0,185.02288222,958.1763,49.82,8.74,-8.75,0.333723,0.084364,-0.029687
8264070,K01068.01,1,FALSE POSITIVE,0.0,2.897432135,54.69574,14.35,3.88,-9.05,0.043891,0.027329000000000003,-0.00471
8222813,K01069.01,1,CANDIDATE,1.0,8.70420525,60.56746,2.86,0.13,-0.24,0.030316000000000003,0.0035689999999999997,-0.00099
8222813,K01069.02,2,CANDIDATE,1.0,2.46697039,24.837725,1.56,0.07,-0.13,0.016558,0.003196,-0.000833
8279765,K01130.01,1,FALSE POSITIVE,0.0,2.7577941630000002,2389.9970000000003,20.05,5.85,-1.96,0.206038,0.0034950000000000003,-0.0030039999999999997
8435247,K01131.01,1,CANDIDATE,0.974,0.696125302,41.593784,28.44,3.25,-2.66,0.386422,0.17588900000000002,-0.083861
8330548,K01132.01,1,FALSE POSITIVE,0.0,1.914158508,1057.6815,13.63,4.73,-1.57,0.111651,0.424374,-0.014075999999999998
8374494,K01133.01,1,FALSE POSITIVE,0.0,5.251916208,319.5286,37.15,9.62,-3.84,0.390092,0.140584,-0.097941
8414907,K01134.01,1,FALSE POSITIVE,0.0,100.3039228,118.214294,29.55,3.1,-2.53,0.35047,66.70348,-0.100939
8414907,K01134.02,2,FALSE POSITIVE,0.0,200.61103346,69.270386,,,,,,
8397446,K01135.01,1,FALSE POSITIVE,0.0,0.9866202479999999,15.544951000000001,43.98,12.0,-12.01,0.29077,0.422521,-0.185763
3442055,K01218.01,1,CANDIDATE,0.999,29.6193891,36.152609999999996,1.74,0.24,-0.19,0.016028,0.000563,-0.000241
4043190,K01220.01,1,CANDIDATE,0.997,6.40087137,19.20714,1.91,0.33,-0.5,0.012298,1.9e-05,-0.0018579999999999998
3640905,K01221.01,1,CANDIDATE,1.0,30.1599411,18.599192000000002,4.54,0.3,-0.61,0.013612,0.0018920000000000002,-0.001655
3640905,K01221.02,2,CANDIDATE,0.981,51.077104799999994,13.911419,3.66,0.24,-0.49,0.010971,0.0023309999999999997,-0.00042199999999999996
6613006,K01223.01,1,FALSE POSITIVE,0.0,7.388833611,2522.4429,10.66,3.06,-0.96,0.11645499999999999,8.4e-05,-0.00011100000000000001
6606653,K01224.01,1,FALSE POSITIVE,0.285,2.698021895,2053.0015,52.51,16.96,-6.07,0.397083,0.052437,-0.044426
10925104,K00156.01,2,CANDIDATE,0.68,8.041347775,59.488434,1.29,0.08,-0.07,0.02196,0.000346,-0.000425
10538176,K01301.02,2,CANDIDATE,1.0,37.514212799999996,24.432261999999998,2.68,0.22,-0.18,0.027815,0.0006490000000000001,-0.001083
10858691,K01306.01,1,CANDIDATE,1.0,1.7963209530000002,17.918095,1.2,0.12,-0.1,0.013229,0.000603,-0.000327
10858691,K01306.02,2,CANDIDATE,0.994,3.4680730000000004,14.930003,1.29,0.13,-0.1,0.014244999999999999,0.000675,-0.000466
8972058,K00159.01,1,CANDIDATE,1.0,8.99088621,72.13723,2.78,0.46,-0.39,0.021706,5.2000000000000004e-05,-0.0017170000000000002
10858691,K01306.03,3,CANDIDATE,0.95,5.9142668,11.950892,1.31,0.14,-0.1,0.014481,0.000661,-0.00057
10858691,K01306.04,4,CANDIDATE,0.91,29.221495899999997,9.017555,1.81,0.18,-0.14,0.019962,0.004026,-0.0020570000000000002
10973814,K01307.01,1,CANDIDATE,0.999,44.852099700000004,27.302459999999996,3.35,0.51,-0.42,0.028610000000000003,0.002579,-0.0033490000000000004
10713616,K01311.01,1,CANDIDATE,0.939,83.5781976,46.45182,6.63,0.88,-2.06,0.023697,0.003251,-0.000729
10963242,K01312.01,1,CANDIDATE,1.0,6.1469955999999994,22.47045,2.04,0.34,-0.27,0.014447,0.0006,-0.00032
8972058,K00159.02,2,CANDIDATE,1.0,2.403640701,15.105959,1.24,0.2,-0.17,0.009670999999999999,0.0009429999999999999,-0.001849
10785538,K01313.01,1,FALSE POSITIVE,0.0,0.522457732,10.736804,1.52,0.43,-0.19,0.014601,0.000683,-0.003175
10585852,K01314.01,1,CANDIDATE,0.997,8.57504983,22.157326,4.26,0.25,-0.41,0.01127,0.000437,-0.00023799999999999998
10928043,K01315.01,1,CANDIDATE,1.0,6.84639884,29.791173999999998,1.9,0.35,-0.28,0.013285,8.4e-05,-0.001997
10794087,K01316.01,1,CANDIDATE,0.997,7.64970832,20.208370000000002,1.43,0.23,-0.31,0.00812,0.00025699999999999996,-0.0012640000000000001
4079535,K01322.01,1,FALSE POSITIVE,0.0,17.72724392,606.2019,14.77,4.91,-1.65,0.134419,0.001428,-0.001832
6631721,K00160.01,1,CANDIDATE,1.0,13.73808249,63.54221999999999,3.84,1.09,-0.73,0.029865,0.000405,-0.001208
4076098,K01323.01,1,CANDIDATE,1.0,3.9901059080000003,246.02412,7.45,2.18,-0.73,0.074711,0.003166,-0.002293
4551328,K01324.01,1,FALSE POSITIVE,0.0,0.52205862,20.874199,27.16,5.14,-3.15,0.283326,0.43636099999999994,-0.054124
4282872,K01325.01,1,CANDIDATE,1.0,10.035381809,139.00804,4.42,1.13,-0.38,0.048570999999999996,0.00075,-0.000314
4639868,K01326.01,1,FALSE POSITIVE,0.0,53.100942624,1147.6056,24.02,2.89,-2.89,0.226043,0.027662,-0.018646
4274548,K01331.01,1,CANDIDATE,0.999,6.80082032,21.306070000000002,1.88,0.23,-0.12,0.025016,0.009148,-0.001442
5084942,K00161.01,1,CANDIDATE,1.0,3.105507835,177.66933999999998,2.68,0.17,-0.1,0.030987999999999998,5e-05,-0.003153
4455231,K01332.01,1,CANDIDATE,1.0,19.30581662,30.262682,4.0,0.62,-0.93,0.024066999999999998,0.0008230000000000001,-0.00035
4455231,K01332.02,3,CANDIDATE,0.999,6.09747233,13.949024,2.22,0.34,-0.52,0.013336,0.000669,-0.000588
4455231,K01332.03,2,CANDIDATE,0.991,56.637918000000006,17.116478,3.68,0.57,-0.85,0.022163,0.000785,-0.0010019999999999999
4285107,K01333.01,1,FALSE POSITIVE,0.0,2.243016513,40.967316,1.37,0.26,-0.12,0.017126,0.01432,-0.002055
4150624,K01334.01,1,FALSE POSITIVE,0.0,8.6531216,28.871053999999997,22.58,5.25,-1.64,0.2427,36.03447,-0.627551
8107380,K00162.01,1,CANDIDATE,1.0,14.00640392,95.65456,3.11,0.45,-0.41,0.025312,0.0023899999999999998,-0.0008560000000000001
4077526,K01336.04,4,CANDIDATE,1.0,4.45814897,11.357054,1.61,0.52,-0.22,0.013643,0.0036270000000000004,-0.001228
4243911,K01337.01,1,CANDIDATE,1.0,1.922799706,24.998684,1.28,0.11,-0.05,0.014398,0.0006519999999999999,-0.000412
4466677,K01338.01,1,CANDIDATE,1.0,3.222975318,26.349789,1.47,0.4,-0.21,0.014062,0.00040899999999999997,-0.000413
4466677,K01338.02,2,CANDIDATE,0.999,42.0370662,12.082628,1.66,0.45,-0.24,0.015824,0.0037479999999999996,-0.00108
4466677,K01338.03,3,CANDIDATE,0.754,21.0112068,7.701652,1.4,0.38,-0.2,0.013378999999999999,0.003282,-0.0020239999999999998
4135665,K01339.01,1,CANDIDATE,1.0,4.16811839,22.689085000000002,2.28,0.35,-0.44,0.015888,0.002186,-0.001153
11446443,K00001.01,1,CANDIDATE,0.811,2.470613377,6468.04,13.04,0.51,-0.51,0.12387100000000001,5.1e-05,-7.099999999999999e-05
10666592,K00002.01,1,CANDIDATE,1.0,2.2047354169999998,3862.1846,16.1,0.81,-0.91,0.075522,0.000298,-0.00035
11913073,K00011.01,1,FALSE POSITIVE,0.0,3.747838198,98.60031,13.65,3.11,-1.04,0.151387,1.08874,-0.03297
10984090,K00112.02,2,CANDIDATE,1.0,3.709214104,41.28873,1.16,0.17,-0.12,0.010424,0.00031800000000000003,-0.000147
10265898,K00732.01,1,CANDIDATE,1.0,1.260258822,18.479853,3.57,0.94,-0.3,0.034238,8.6e-05,-0.0033590000000000004
10265898,K00732.02,3,CANDIDATE,0.966,3.29534567,8.214939,1.23,0.32,-0.1,0.011781,4e-05,-0.001625
10265898,K00732.03,2,CANDIDATE,0.992,5.25449393,10.598249000000001,1.41,0.38,-0.11,0.013572,0.002167,-0.0019760000000000003
10272442,K00734.02,2,CANDIDATE,0.974,70.2780911,10.722873,2.54,0.75,-0.23,0.025584,0.001309,-0.000918
10287242,K00735.01,1,CANDIDATE,1.0,22.34213536,43.827183000000005,5.19,0.54,-0.55,0.067166,47.18453,-0.012463
6721123,K00114.01,1,FALSE POSITIVE,0.0,7.36178958,46.153079999999996,39.21,6.45,-9.67,0.183387,7.128075999999999,-0.043131
10340423,K00736.01,1,CANDIDATE,1.0,18.79418506,33.832794,2.33,0.11,-0.11,0.035431,0.0005809999999999999,-0.0012029999999999999
10340423,K00736.02,2,CANDIDATE,1.0,6.73893544,19.473684,1.44,0.06,-0.07,0.021833,0.001046,-0.000785
10345478,K00737.01,1,FALSE POSITIVE,0.0,14.49839316,112.12642,5.16,0.79,-0.42,0.06429,0.000684,-0.0009019999999999999
10358759,K00738.01,1,CANDIDATE,1.0,10.3392408,38.329365,2.98,0.23,-0.15,0.031329,0.0008029999999999999,-0.000429
10464078,K00743.01,1,FALSE POSITIVE,0.0,19.40393776,320.90817000000004,7.18,0.76,-0.68,0.096729,0.000533,-0.000532
9579641,K00115.01,1,CANDIDATE,1.0,5.412203927,163.47614,2.94,0.43,-0.38,0.024775,5.9999999999999995e-05,-0.0018859999999999999
10480982,K00744.01,1,FALSE POSITIVE,0.0,19.221388942,2174.4263,49.29,16.03,-5.0,0.476633,0.024501,-0.027744
10480982,K00744.02,2,FALSE POSITIVE,0.0,2.03746414,11.9860735,1.12,0.36,-0.12,0.010806999999999999,0.0006,-0.0005549999999999999
10485250,K00745.01,1,FALSE POSITIVE,0.0,16.46983774,258.8247,7.94,0.89,-0.89,0.09250900000000001,0.000598,-0.001109
